Offset(V)     Pid     Handle     Access Type             Details
0x81f22c18      4      0x310   0x12019f File             \Device\Tcp
0x81f22d30      4      0x314   0x12019f File             \Device\Tcp
0x82144410      4      0x318   0x12019f File             \Device\Tcp
0x81fda300      4      0x31c   0x12019f File             \Device\Tcp
0x81e390e0      4      0x320   0x12019f File             \Device\Tcp
0x81e39028      4      0x324   0x12019f File             \Device\Tcp
0x81fabdb8      4      0x328   0x12019f File             \Device\Tcp
0x821a8028      4      0x32c   0x12019f File             \Device\Tcp
0x81f27130      4      0x330   0x12019f File             \Device\Tcp
0x81f27028      4      0x334   0x12019f File             \Device\Tcp
0x8224a028      4      0x338   0x12019f File             \Device\Tcp
0x82179d80      4      0x33c   0x12019f File             \Device\Tcp
0x822a60e0      4      0x340   0x12019f File             \Device\Tcp
0x822a6028      4      0x344   0x12019f File             \Device\Tcp
0x821d8f40      4      0x348   0x12019f File             \Device\Tcp
0x81eb6ef8      4      0x34c   0x12019f File             \Device\Tcp
0x81eb6f90      4      0x350   0x12019f File             \Device\Tcp
0x81e81aa0      4      0x354   0x12019f File             \Device\Tcp
0x822994f8      4      0x358   0x12019f File             \Device\Tcp
0x81ec7f90      4      0x35c   0x12019f File             \Device\Tcp
0x81ec79b8      4      0x360   0x12019f File             \Device\Tcp
0x81ec7920      4      0x364   0x12019f File             \Device\Tcp
0x81ec7850      4      0x368   0x12019f File             \Device\Tcp
0x81ec77b8      4      0x36c   0x12019f File             \Device\Tcp
0x81ec75d0      4      0x370   0x12019f File             \Device\Tcp
0x81ec73d8      4      0x374   0x12019f File             \Device\Tcp
0x81ec7340      4      0x378   0x12019f File             \Device\Tcp
0x81ec72a8      4      0x37c   0x12019f File             \Device\Tcp
0x81ec6be0      4      0x380   0x1f01ff File             \Device\Tcp
0x821242b0      4      0x384   0x1f03ff Process          bittorrent.exe(296)
0x81ec6e80      4      0x388   0x12019f File             \Device\Tcp
0x81ec6de8      4      0x38c   0x12019f File             \Device\Tcp
0x82235560      4      0x390   0x1f03ff Process          svchost.exe(1080)
0x81e77928      4      0x394   0x1f01ff File             \Device\Udp
0x8226e168      4      0x398   0x12019f File             \Device\Tcp
0x82219ad8      4      0x3ac   0x12019f File             \Device\Tcp
0x822199c0      4      0x3b0   0x12019f File             \Device\Tcp
0x8226c768      4      0x3b4   0x12019f File             \Device\Tcp
0x82204700      4      0x3b8   0x12019f File             \Device\Tcp
0x822045e8      4      0x3bc   0x12019f File             \Device\Tcp
0x82249bd0      4      0x3c0   0x12019f File             \Device\Tcp
0x81ec13a0      4      0x3c4   0x12019f File             \Device\Tcp
0x81ec1288      4      0x3c8   0x12019f File             \Device\Tcp
0x81f73708      4      0x3cc   0x12019f File             \Device\Tcp
0x81e25788      4      0x3d0   0x12019f File             \Device\Tcp
0x81e256a0      4      0x3d4   0x12019f File             \Device\Tcp
0x81f844b8      4      0x3d8   0x12019f File             \Device\Tcp
0x81f843d0      4      0x3dc   0x12019f File             \Device\Tcp
0x8214b9d8      4      0x3e0   0x12019f File             \Device\Tcp
0x8214b8c0      4      0x3e4   0x12019f File             \Device\Tcp
0x82139cb8      4      0x3e8   0x12019f File             \Device\Tcp
0x81f52020      4      0x3ec   0x1f03ff Process          lsass.exe(656)
0x820e5658      4      0x3f0   0x1f03ff Process          spoolsv.exe(1460)
0x81f83c38      4      0x3f4   0x1f01ff File             \Device\Tcp
0x821e8b60      4      0x3f8   0x12019f File             \Device\Tcp
0x81e9ae88      4      0x3fc   0x12019f File             \Device\Tcp
0x81defe58      4      0x400   0x12019f File             \Device\Tcp
0x81ec16e8      4      0x404   0x12019f File             \Device\Tcp
0x822041a8      4      0x408   0x12019f File             \Device\Tcp
0x82139bd0      4      0x40c   0x12019f File             \Device\Tcp
0x81ec6ab0      4      0x410   0x12019f File             \Device\Tcp
0x822488a8      4      0x414   0x12019f File             \Device\Tcp
0x81e78260      4      0x418   0x12019f File             \Device\Tcp
0x81e6c870      4      0x41c   0x12019f File             \Device\Tcp
0x81e5dae8      4      0x420   0x12019f File             \Device\Tcp
0x81e5d9d0      4      0x424   0x12019f File             \Device\Tcp
0x81e5d8b8      4      0x428   0x12019f File             \Device\Tcp
0x81e5d7a0      4      0x42c   0x12019f File             \Device\Tcp
0x81e5d688      4      0x430   0x12019f File             \Device\Tcp
0x81e5d570      4      0x434   0x12019f File             \Device\Tcp
0x81e5d458      4      0x438   0x12019f File             \Device\Tcp
0x81e5d340      4      0x43c   0x12019f File             \Device\Tcp
0x81e5d228      4      0x440   0x12019f File             \Device\Tcp
0x81e5c028      4      0x444   0x12019f File             \Device\Tcp
0x81e5cf40      4      0x448   0x12019f File             \Device\Tcp
0x81e5ce28      4      0x44c   0x12019f File             \Device\Tcp
0x81e5cd10      4      0x450   0x12019f File             \Device\Tcp
0x81e5cbf8      4      0x454   0x12019f File             \Device\Tcp
0x81e5cae0      4      0x458   0x12019f File             \Device\Tcp
0x81e5c9c8      4      0x45c   0x12019f File             \Device\Tcp
0x81e5c8b0      4      0x460   0x12019f File             \Device\Tcp
0x81e5c798      4      0x464   0x12019f File             \Device\Tcp
0x81e5c680      4      0x468   0x12019f File             \Device\Tcp
0x81e5c568      4      0x46c   0x12019f File             \Device\Tcp
0x81e5c450      4      0x470   0x12019f File             \Device\Tcp
0x81e5c338      4      0x474   0x12019f File             \Device\Tcp
0x81e5c220      4      0x478   0x12019f File             \Device\Tcp
0x81f8faf8      4      0x47c   0x1200a0 File             \Device\Udp
0x81f90870      4      0x480   0x1200a0 File             \Device\Udp
0x81ec7178      4      0x484   0x12019f File             \Device\Tcp
0x81ec7210      4      0x488   0x12019f File             \Device\Tcp
0x821a80f0      4      0x48c   0x12019f File             \Device\Tcp
0x822979e8      4      0x490   0x1f01ff File             \Device\Udp
0x82297ed0      4      0x494   0x12019f File             \Device\Tcp
0x82353128      4      0x498   0x12019f File             \Device\Tcp
0x823532b0      4      0x49c   0x12019f File             \Device\Tcp
0x82353438      4      0x4a0   0x12019f File             \Device\Tcp
0x823535c0      4      0x4a4   0x12019f File             \Device\Tcp
0x82353748      4      0x4a8   0x12019f File             \Device\Tcp
0x823538d0      4      0x4ac   0x12019f File             \Device\Tcp
0x82353a58      4      0x4b0   0x12019f File             \Device\Tcp
0x82353be0      4      0x4b4   0x12019f File             \Device\Tcp
0x82353d68      4      0x4b8   0x12019f File             \Device\Tcp
0x82353ef0      4      0x4bc   0x12019f File             \Device\Tcp
0x82353028      4      0x4c0   0x12019f File             \Device\Tcp
0x82354218      4      0x4c4   0x12019f File             \Device\Tcp
0x823543a0      4      0x4c8   0x12019f File             \Device\Tcp
0x82354528      4      0x4cc   0x12019f File             \Device\Tcp
0x823546b0      4      0x4d0   0x12019f File             \Device\Tcp
0x82354838      4      0x4d4   0x12019f File             \Device\Tcp
0x823549c0      4      0x4d8   0x12019f File             \Device\Tcp
0x82354b48      4      0x4dc   0x12019f File             \Device\Tcp
0x82354cd0      4      0x4e0   0x12019f File             \Device\Tcp
0x82354e58      4      0x4e4   0x12019f File             \Device\Tcp
0x82354f90      4      0x4e8   0x12019f File             \Device\Tcp
0x81e20128      4      0x4ec   0x12019f File             \Device\Tcp
0x81e202b0      4      0x4f0   0x12019f File             \Device\Tcp
0x81e20438      4      0x4f4   0x12019f File             \Device\Tcp
0x81e205c0      4      0x4f8   0x12019f File             \Device\Tcp
0x81e20748      4      0x4fc   0x12019f File             \Device\Tcp
0x81e208d0      4      0x500   0x12019f File             \Device\Tcp
0x81e20a58      4      0x504   0x12019f File             \Device\Tcp
0x81e20be0      4      0x508   0x12019f File             \Device\Tcp
0x81e20d68      4      0x50c   0x12019f File             \Device\Tcp
0x81e20ef0      4      0x510   0x12019f File             \Device\Tcp
0x81e210d8      4      0x514   0x12019f File             \Device\Tcp
0x81e21260      4      0x518   0x12019f File             \Device\Tcp
0x81e213e8      4      0x51c   0x12019f File             \Device\Tcp
0x81e21570      4      0x520   0x12019f File             \Device\Tcp
0x81e216f8      4      0x524   0x12019f File             \Device\Tcp
0x81e21880      4      0x528   0x12019f File             \Device\Tcp
0x81e21a08      4      0x52c   0x12019f File             \Device\Tcp
0x81e21b90      4      0x530   0x12019f File             \Device\Tcp
0x81e21d18      4      0x534   0x12019f File             \Device\Tcp
0x81e21ea0      4      0x538   0x12019f File             \Device\Tcp
0x81e21028      4      0x53c   0x12019f File             \Device\Tcp
0x81f58960      4      0x540   0x1f0003 Event            PrefetchTracesReady
0x81e17e68      4      0x544   0x12019f File             \Device\Tcp
0x81e2a208      4      0x548   0x12019f File             \Device\Tcp
0x81e2a2a0      4      0x54c   0x12019f File             \Device\Tcp
0x81e17cf8      4      0x550   0x12019f File             \Device\Tcp
0x81e17c60      4      0x554   0x12019f File             \Device\Tcp
0x81e17b88      4      0x558   0x12019f File             \Device\Tcp
0x81e17a18      4      0x55c   0x12019f File             \Device\Tcp
0x81e17980      4      0x560   0x12019f File             \Device\Tcp
0x81e178a8      4      0x564   0x12019f File             \Device\Tcp
0x81e17738      4      0x568   0x12019f File             \Device\Tcp
0x81e176a0      4      0x56c   0x12019f File             \Device\Tcp
0x81e17530      4      0x570   0x12019f File             \Device\Tcp
0x81e00d18      4      0x574   0x12019f File             \Device\Tcp
0x81e00c80      4      0x578   0x12019f File             \Device\Tcp
0x81e008d0      4      0x57c   0x12019f File             \Device\Tcp
0x81e006c8      4      0x580   0x12019f File             \Device\Tcp
0x81e00630      4      0x584   0x12019f File             \Device\Tcp
0x81e00170      4      0x588   0x12019f File             \Device\Tcp
0x81f31be8      4      0x58c   0x12019f File             \Device\Tcp
0x81f31b50      4      0x590   0x12019f File             \Device\Tcp
0x81e22c38      4      0x594   0x12019f File             \Device\Tcp
0x822b7de0      4      0x598   0x1f01ff File             \Device\Tcp
0x8215c900      4      0x59c   0x12019f File             \Device\Tcp
0x81f31778      4      0x5a0   0x12019f File             \Device\Tcp
0x8223f2a0      4      0x5a4   0x12019f File             \Device\Tcp
0x8223f208      4      0x5a8   0x12019f File             \Device\Tcp
0x821c18f8      4      0x5ac   0x12019f File             \Device\Tcp
0x821c1338      4      0x5b0   0x12019f File             \Device\Tcp
0x821c12a0      4      0x5b4   0x12019f File             \Device\Tcp
0x821c11c8      4      0x5b8   0x12019f File             \Device\Tcp
0x81fd4930      4      0x5bc   0x12019f File             \Device\Tcp
0x81fd4898      4      0x5c0   0x12019f File             \Device\Tcp
0x81e9b878      4      0x5c4   0x12019f File             \Device\Tcp
0x81eb9b38      4      0x5c8   0x12019f File             \Device\Tcp
0x81eb9aa0      4      0x5cc   0x12019f File             \Device\Tcp
0x81ebf9f0      4      0x5d0   0x12019f File             \Device\Tcp
0x81f31540      4      0x5d4   0x12019f File             \Device\Tcp
0x81f314a8      4      0x5d8   0x12019f File             \Device\Tcp
0x81ea2678      4      0x5dc   0x12019f File             \Device\Tcp
0x821cfdf8      4      0x5e0   0x12019f File             \Device\Tcp
0x821cfd60      4      0x5e4   0x12019f File             \Device\Tcp
0x822986d0      4      0x5e8   0x12019f File             \Device\Tcp
0x82247dc0      4      0x5ec   0x1f0003 Event            IrEnumIoEvent
0xe162efb8      4      0x5f0    0x2001f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{8E5AB221-088F-4D74-8D98-8AE0E5C9C959}\0001\VOLATILESETTINGS
0x81e82ef8      4      0x5f4   0x12019f File             \Device\Tcp
0x8217ca00      4      0x5f8   0x1f03ff Thread           TID 320 PID 4
0x81e82f90      4      0x5fc   0x12019f File             \Device\Tcp
0x81eb3528      4      0x600   0x12019f File             \Device\Tcp
0x81eb33a0      4      0x604   0x12019f File             \Device\Tcp
0x81eb3660      4      0x608   0x12019f File             \Device\Tcp
0x81eb3798      4      0x60c   0x12019f File             \Device\Tcp
0x81eb3830      4      0x610   0x12019f File             \Device\Tcp
0x82144e78      4      0x614   0x12019f File             \Device\Tcp
0x821809f8      4      0x618   0x1f01ff File             \Device\Tcp
0x82166a40      4      0x61c   0x12019f File             \Device\Tcp
0x81eb38c8      4      0x620   0x12019f File             \Device\Tcp
0x81eb3960      4      0x624   0x12019f File             \Device\Tcp
0x81eb39f8      4      0x628   0x12019f File             \Device\Tcp
0x81eb3c00      4      0x62c   0x1f01ff File             \Device\Tcp
0x81f319b0      4      0x630   0x1f01ff File             \Device\Udp
0x81e2a580      4      0x634   0x1f01ff File             \Device\Tcp
0x81e37338      4      0x638   0x1f01ff File             \Device\Udp
0x81f04028      4      0x63c   0x12019f File             \Device\Tcp
0x82164c68      4      0x640   0x12019f File             \Device\Tcp
0x81e9b9f8      4      0x644   0x12019f File             \Device\Tcp
0x821b01a0      4      0x648   0x12019f File             \Device\Tcp
0x821b02c0      4      0x64c   0x1f01ff File             \Device\Tcp
0x821b0538      4      0x650   0x12019f File             \Device\Tcp
0x821c5640      4      0x654   0x1f01ff File             \Device\Tcp
0x821b0a90      4      0x658   0x1f01ff File             \Device\Tcp
0x81e37028      4      0x65c   0x12019f File             \Device\Tcp
0x81f7b630      4      0x664   0x12019f File             \Device\Tcp
0x81f7be58      4      0x668   0x1f01ff File             \Device\Tcp
0x81fd4028      4      0x66c   0x12019f File             \Device\Tcp
0x822bcd70      4      0x670   0x12019f File             \Device\Tcp
0x821807b0      4      0x674   0x12019f File             \Device\Tcp
0x8217dae0      4      0x678   0x12019f File             \Device\Tcp
0x8213b028      4      0x67c   0x12019f File             \Device\Tcp
0x82167028      4      0x680   0x12019f File             \Device\Tcp
0x81f7c028      4      0x684   0x12019f File             \Device\Tcp
0x8220b1b0      4      0x688   0x1200a0 File             \Device\Tcp
0x82168ae0      4      0x68c   0x1200a0 File             \Device\Udp
0xe27deda0      4      0x690    0x2001f Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\HTTP\PARAMETERS\URLACLINFO
0x82245f90      4      0x694   0x1200a0 File             \Device\Tcp
0x8220c028      4      0x698   0x100003 File             \Device\Gpc
0x8213c5d0      4      0x69c   0x1f03ff Thread           TID 1760 PID 4
0x823c4298      4      0x6a0        0x1 Event            LowMemoryCondition
0x8213cac0      4      0x6a4   0x1f03ff Thread           TID 1752 PID 4
0x81e5a518      4      0x6a8   0x1f03ff Thread           TID 1748 PID 4
0x8213c848      4      0x6ac   0x1f03ff Thread           TID 1756 PID 4
0x81e222f0      4      0x6b0   0x1f03ff Thread           TID 1744 PID 4
0x82237d28      4      0x6b4        0x0 File             \Device\NetBT_Tcpip_{EF3EBE1D-CBBF-4747-84FE-A9968D9E09DD}
0x82237a68      4      0x6b8   0x12019f File             \Device\Tcp
0x81f9f660      4      0x6bc        0x0 File             \Device\NetBT_Tcpip_{EF3EBE1D-CBBF-4747-84FE-A9968D9E09DD}
0x8229b490      4      0x6c0   0x12019f File             \Device\Tcp
0x82315ac0      4      0x6c4      0x180 File             \Device\NetBT_Tcpip_{EF3EBE1D-CBBF-4747-84FE-A9968D9E09DD}
0x821ba9f8      4      0x6c8        0x0 File             \Device\NetBT_Tcpip_{EF3EBE1D-CBBF-4747-84FE-A9968D9E09DD}
0x81f37318      4      0x6cc   0x12019f File             \Device\Tcp
0x8223c998      4      0x6d0        0x0 File             \Device\NetBT_Tcpip_{EF3EBE1D-CBBF-4747-84FE-A9968D9E09DD}
0x82169678      4      0x6d4   0x1200a0 File             \Device\Udp
0xe2293f58      4      0x6d8    0xf000f Directory        Http
0x81f9fa70      4      0x6dc      0x180 File             \Device\NetBT_Tcpip_{EF3EBE1D-CBBF-4747-84FE-A9968D9E09DD}
0x82110d98      4      0x6e0   0x1f01ff File             \Device\Udp
0x81f43550      4      0x6e4   0x1f01ff File             \Device\Udp
0x81e506d8      4      0x6e8   0x12019f File             \Device\Tcp
0x81f9ff90      4      0x6ec        0x0 File             \Device\NetbiosSmb
0x81f9fdd0      4      0x6f0   0x12019f File             \Device\Tcp
0x81e1b910      4      0x6f4        0x0 File             \Device\NetbiosSmb
0x81e1b750      4      0x6f8   0x12019f File             \Device\Tcp
0x82193180      4      0x6fc      0x180 File             \Device\NetbiosSmb
0x821934a8      4      0x700        0x0 File             \Device\NetbiosSmb
0x821932e8      4      0x704   0x12019f File             \Device\Tcp
0x81eb8480      4      0x708        0x0 File             \Device\NetbiosSmb
0x821938b8      4      0x70c   0x12019f File             \Device\Tcp
0x821ba170      4      0x710      0x180 File             \Device\NetbiosSmb
0xe25b9768      4      0x714  0x20f01ff Token            
0xe2617650      4      0x718    0xf001f Section          
0xe1960bc8      4      0x71c   0x1f0001 Port             
0x81e60380      4      0x724   0x12019f File             \Device\Tcp
0x81e60538      4      0x728   0x12019f File             \Device\Tcp
0x81e606f0      4      0x72c   0x12019f File             \Device\Tcp
0x81e608a8      4      0x730   0x12019f File             \Device\Tcp
0x81e609e0      4      0x734   0x12019f File             \Device\Tcp
0x8219b348      4      0x738   0x12019f File             \Device\Tcp
0x8219b500      4      0x73c   0x12019f File             \Device\Tcp
0x8219b6b8      4      0x740   0x12019f File             \Device\Tcp
0x8219b870      4      0x744   0x12019f File             \Device\Tcp
0x8219ba28      4      0x748   0x12019f File             \Device\Tcp
0x8219bbe0      4      0x74c   0x12019f File             \Device\Tcp
0x8215a590      4      0x750   0x12019f File             \Device\Tcp
0x8215a748      4      0x754   0x12019f File             \Device\Tcp
0x8215a900      4      0x758   0x12019f File             \Device\Tcp
0x8215aab8      4      0x75c   0x12019f File             \Device\Tcp
0x8215ac70      4      0x760   0x12019f File             \Device\Tcp
0x8215adf8      4      0x764   0x12019f File             \Device\Tcp
0x81e3e230      4      0x768   0x12019f File             \Device\Tcp
0x81e3e3e8      4      0x76c   0x12019f File             \Device\Tcp
0x81e3e5a0      4      0x770   0x12019f File             \Device\Tcp
0x81e3e758      4      0x774   0x12019f File             \Device\Tcp
0x81e3e910      4      0x778   0x12019f File             \Device\Tcp
0x81e3e028      4      0x77c   0x12019f File             \Device\Tcp
0x82228420      4      0x780   0x12019f File             \Device\Tcp
0x822285d8      4      0x784   0x12019f File             \Device\Tcp
0x82228790      4      0x788   0x12019f File             \Device\Tcp
0x82228948      4      0x78c   0x12019f File             \Device\Tcp
0x82228b00      4      0x790   0x12019f File             \Device\Tcp
0x81e640b0      4      0x794   0x12019f File             \Device\Tcp
0x81e64268      4      0x798   0x12019f File             \Device\Tcp
0x81e64420      4      0x79c   0x12019f File             \Device\Tcp
0x81e645d8      4      0x7a0   0x12019f File             \Device\Tcp
0x81e64790      4      0x7a4   0x12019f File             \Device\Tcp
0x81e64918      4      0x7a8   0x12019f File             \Device\Tcp
0x8218b6f8      4      0x7ac   0x12019f File             \Device\Tcp
0x8218b8b0      4      0x7b0   0x12019f File             \Device\Tcp
0x8218ba68      4      0x7b4   0x12019f File             \Device\Tcp
0x8218bc20      4      0x7b8   0x12019f File             \Device\Tcp
0xe16304d0      4      0x7bc   0x1f0001 Port             SeRmCommandPort
0x81f52020      4      0x7c0       0x28 Process          lsass.exe(656)
0x81f9a308      4      0x7c4   0x140003 File             \Device\HarddiskVolume1\pagefile.sys
0x8219eae0      4      0x7c8    0xf0003 Desktop          Disconnect
0x81fa10d0      4      0x7cc  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY
0x81f4f220      4      0x7d0   0x12019f File             \Device\Tcp
0xe1959138      4      0x7d4        0x2 Key              MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG
0x822d3d30      4      0x7d8  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY.LOG
0x81f49d88      4      0x7dc   0x12019f File             \Device\Tcp
0x822d36c8      4      0x7e0  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\software
0x81f880d0      4      0x7e4  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\software.LOG
0x81f4f338      4      0x7e8   0x12019f File             \Device\Tcp
0x8219ee50      4      0x7ec        0x3 File             \Device\HarddiskVolume1\WINDOWS\system32\config\system
0x822530d0      4      0x7f0        0x3 File             \Device\HarddiskVolume1\WINDOWS\system32\config\system.LOG
0x81f601c8      4      0x7f4   0x100003 File             \Device\HarddiskVolume1\hiberfil.sys
0x81f99518      4      0x7f8  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\default
0x81f948c0      4      0x7fc  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\default.LOG
0xe18283e0      4      0x804        0x4 Directory        WindowStations
0x82227ae0      4      0x808  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\SAM
0x821a9758      4      0x80c  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\SAM.LOG
0x81f4f420      4      0x810   0x12019f File             \Device\Tcp
0x81f4db38      4      0x814   0x12019f File             \Device\Tcp
0x81f4dc20      4      0x818   0x12019f File             \Device\Tcp
0x81f4d6b0      4      0x81c   0x12019f File             \Device\Tcp
0x81f4d7c8      4      0x820   0x12019f File             \Device\Tcp
0x81f4d220      4      0x824   0x12019f File             \Device\Tcp
0x81f4d338      4      0x828   0x12019f File             \Device\Tcp
0x81f4d420      4      0x82c   0x12019f File             \Device\Tcp
0x8222cb38      4      0x830   0x12019f File             \Device\Tcp
0x8222cc20      4      0x834   0x12019f File             \Device\Tcp
0x81f5c6b0      4      0x838   0x12019f File             \Device\Tcp
0x81f5c7c8      4      0x83c   0x12019f File             \Device\Tcp
0x81f5b978      4      0x840   0x12019f File             \Device\Tcp
0x81f5ba90      4      0x844   0x12019f File             \Device\Tcp
0x81f5bb78      4      0x848   0x12019f File             \Device\Tcp
0x81f4ba38      4      0x84c   0x12019f File             \Device\Tcp
0x81f4bb20      4      0x850   0x12019f File             \Device\Tcp
0x81f5cad0      4      0x854   0x12019f File             \Device\Tcp
0x81f5cbe8      4      0x858   0x12019f File             \Device\Tcp
0x81f5c248      4      0x85c   0x12019f File             \Device\Tcp
0x81f5c330      4      0x860   0x12019f File             \Device\Tcp
0x81f5c418      4      0x864   0x12019f File             \Device\Tcp
0x81f5b630      4      0x868   0x12019f File             \Device\Tcp
0x81f5b748      4      0x86c   0x12019f File             \Device\Tcp
0x82236e28      4      0x870   0x12019f File             \Device\Tcp
0x82236f40      4      0x874   0x12019f File             \Device\Tcp
0x821249f0      4      0x878   0x12019f File             \Device\Tcp
0x82124b08      4      0x87c   0x12019f File             \Device\Tcp
0x81f2d478      4      0x880   0x12019f File             \Device\Tcp
0x81f2d560      4      0x884   0x12019f File             \Device\Tcp
0x81f2d648      4      0x888   0x12019f File             \Device\Tcp
0x81f5e448      4      0x88c   0x12019f File             \Device\Tcp
0x81f5e530      4      0x890   0x12019f File             \Device\Tcp
0x82183e78      4      0x894   0x12019f File             \Device\Tcp
0x82183f90      4      0x898   0x12019f File             \Device\Tcp
0x81f5dcb0      4      0x89c   0x12019f File             \Device\Tcp
