Offset(P)    #Ptr   #Hnd Access Name
0x01f32d18      2      1 ------ \Device\Afd\Endpoint
0x01f33e70      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Favorites\Desktop.ini
0x01f342d8      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\6TEDUZUT\pic_message_e[1].gif
0x01f34ac8      3      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\permissions.sqlite
0x01f34df0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\shdoclc.dll
0x01f36b78      1      1 ------ \Device\Afd\Endpoint
0x01f37d18      3      1 -W-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\promotion\promodb.log
0x01f3aa48      2      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Cookies\index.dat
0x01f3d028      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\MakeAccessible.api
0x01f3d978      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\EScript.api
0x01f3da10      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\EWH32.api
0x01f3dc10      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f3de60      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\HLS.api
0x01f3def8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\IA32.api
0x01f3df90      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\ImageViewer.API
0x01f3f028      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\Microsoft\Templates\Normal.dot
0x01f3f228      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\Multimedia.api
0x01f3f2c0      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\PDDom.api
0x01f3f478      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\weblink.api
0x01f3f510      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\AcroRd32.dll
0x01f3f5a8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01f3f770      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f3f808      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f3f8a0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01f3f938      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\GH012LM5\openhand[1].cur
0x01f410f8      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Java\jre6\bin\java.exe
0x01f412f8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f41688      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\kartika.ttf
0x01f42070      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\History\desktop.ini
0x01f43700      1      1 ------ \Device\Afd\Endpoint
0x01f439d8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\eBook.api
0x01f46d60      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\drivers\etc
0x01f47738      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f48a08      3      1 ------ \Device\Afd\Endpoint
0x01f48aa8      3      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\ANTQUAB.TTF
0x01f48b40      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\WINGDNG3.TTF
0x01f49f90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\imgutil.dll
0x01f4b8c0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f4bd28      1      1 ------ \Device\Afd\Endpoint
0x01f4cd20      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\index.dat
0x01f4e028      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f4edc0      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\INDEX.BTR
0x01f4ef90      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\OBJECTS.MAP
0x01f519d8      1      1 R--r-- \Device\HarddiskVolume1\Program Files\Messenger\msmsgs.exe
0x01f51b68      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f52e28      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\pchealth\helpctr\BATCH
0x01f52ef8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\Offline Web Pages\desktop.ini
0x01f52f90      1      0 R--r-d \Device\HarddiskVolume1\Program Files\QuickTime\QTPlugin.ocx
0x01f534d0      1      1 ------ \Device\Afd\Endpoint
0x01f54938      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\System\ado
0x01f549d8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\inetmib1.dll
0x01f55308      3      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x01f58c50      1      1 ------ \Device\NamedPipe\winlogonrpc
0x01f5c9d8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\vbscript.dll
0x01f5db40      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f5f028      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x01f601c8      2      1 RW---- \Device\HarddiskVolume1\hiberfil.sys
0x01f61028      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\LocalService\ntuser.dat.LOG
0x01f61d60      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\inf
0x01f61df8      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\System\Ole DB
0x01f61f90      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x01f62708      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\GH012LM5\Ad2801010St1Sz16Sq3766140V0Id1[1].gif
0x01f63648      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\M9636DWJ
0x01f651e8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\040b
0x01f65280      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0408
0x01f65318      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0407
0x01f67320      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f67748      1      1 ------ \Device\Afd\Endpoint
0x01f68878      3      1 R--r-- \Device\HarddiskVolume1\PROGRA~1\COMMON~1\MICROS~1\SMARTT~1\FNAME.DLL
0x01f68d18      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01f696a8      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\WDIZSHIJ\rc[1].gif
0x01f69740      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wucltui.dll.mui
0x01f699a8      3      1 ------ \Device\Afd\Endpoint
0x01f69b30      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Java\jre6\bin\deploy.dll
0x01f6af90      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01f73a18      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f73b18      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01f743f0      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\Annots.api
0x01f75f90      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01f76a90      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Common\rppl3260.dll
0x01f76cc8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\vrinda.ttf
0x01f77360      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msxml3.dll
0x01f77648      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\libgdk-win32-2.0-0.dll
0x01f77868      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\GH012LM5\cleardot[1].gif
0x01f77a90      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Plugins\pnxr3260.dll
0x01f77ca8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\GOTHICB.TTF
0x01f77e98      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\linkinfo.dll
0x01f78130      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\comsvcs.dll
0x01f782c8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\drprov.dll
0x01f7a130      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\mtxclu.dll
0x01f7a7c8      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\SpeechEngines\Microsoft\Lexicon\1033
0x01f7a860      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\IME\PINTLGNT
0x01f7b3a0      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\MSInfo
0x01f7b438      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Internet Explorer\Connection Wizard
0x01f7b790      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\libpng12.dll
0x01f7c1f0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\colbact.dll
0x01f7c648      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\xul.dll
0x01f7ce98      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Common\rpcl3260.dll
0x01f7d028      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\MSSoap\Binaries
0x01f7d158      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\MSSoap\Binaries\Resources\1033
0x01f7d2a8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f7d368      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\js3250.dll
0x01f7d7c8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\ssl3.dll
0x01f7dc28      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Update\rpup3260.dll
0x01f7e028      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Microsoft Office\Office10\MSOHEV.DLL
0x01f7e460      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\smime3.dll
0x01f7e8d8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\nss3.dll
0x01f7f028      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f7fb90      2      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\WINGDNG2.TTF
0x01f7fd20      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Real\RealPlayer\rpsd3260.dll
0x01f80028      1      0 R--r-- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\Macromedia\Flash Player\macromedia.com\support\flashplayer\sys\settings.sol
0x01f801e8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0401
0x01f80280      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Accessories
0x01f80318      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\wbem\xml
0x01f80648      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\bittorrent.exe
0x01f80a90      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Common\rpmn3260.dll
0x01f80c90      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\GARA.TTF
0x01f80eb8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Common\rprm3260.dll
0x01f81028      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Help
0x01f813d8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Real\RealPlayer\rpde3260.dll
0x01f81c28      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS
0x01f824b0      1      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\6TEDUZUT\easyTooltip[1].js
0x01f828f8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Real\RealPlayer\rpto3260.dll
0x01f82b30      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\GOTHIC.TTF
0x01f82d20      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Real\RealPlayer\rpsr3260.dll
0x01f82ef8      1      1 ------ \Device\Afd\Endpoint
0x01f83028      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime
0x01f83158      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\srchasst
0x01f832e0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\dssenh.dll
0x01f83678      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\c_1250.nls
0x01f83710      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\c_1251.nls
0x01f83998      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Java\jre6\bin\fontmanager.dll
0x01f84570      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\_iocp.pyd
0x01f84c28      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Real\RealPlayer\rpar3260.dll
0x01f84f90      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\cryptocme2.dll
0x01f85eb8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Common\rpta3260.dll
0x01f86328      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wscntfy.exe
0x01f86510      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wuauclt.exe
0x01f86cb0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\ncprov.dll
0x01f873f0      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\libpangowin32-1.0-0.dll
0x01f875d8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\libgmodule-2.0-0.dll
0x01f876d0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\netui0.dll
0x01f877c0      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\libpango-1.0-0.dll
0x01f87c78      1      1 ------ \Device\Afd\Endpoint
0x01f880d0      1      1 RW---- \Device\HarddiskVolume1\WINDOWS\system32\config\software.LOG
0x01f88170      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\wbemcons.dll
0x01f88720      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\ssdpapi.dll
0x01f88908      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\iconv.dll
0x01f88cd8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\libgthread-2.0-0.dll
0x01f89140      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\upnp.dll
0x01f89328      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\wbemess.dll
0x01f89510      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\_gtk.pyd
0x01f898e0      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Java\jre6\bin\nio.dll
0x01f8a140      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\perfdisk.dll
0x01f8a3a0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f8a990      2      1 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Resource\CMap
0x01f8b328      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\intl.dll
0x01f8bc88      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\libgobject-2.0-0.dll
0x01f8c2d8      1      0 ------ \Device\KSENUM#00000002\{9B365890-165F-11D0-A195-0020AFD156E4}
0x01f8c3f8      1      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\config\SecEvent.Evt
0x01f8c490      1      1 ------ \Device\NamedPipe\SfcApi
0x01f8c528      2      1 ------ \Device\NamedPipe\SfcApi
0x01f8cd00      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\libglib-2.0-0.dll
0x01f8d6a8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\LimeWire\LimeWire.exe
0x01f8d870      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\dllcache
0x01f8dca0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\Setup
0x01f8e140      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\_zope_interface_coptimizations.pyd
0x01f8e4e8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01f8e848      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0009
0x01f8e8e0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\imkr6_1\dicts
0x01f8f028      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\xpsp2res.dll
0x01f8f148      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\wmisvc.dll
0x01f8f358      1      1 ------ \Device\Afd\Endpoint
0x01f8f5c0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\usmt
0x01f8f658      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\admisapi\scripts
0x01f8f7a8      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\admcgi\scripts
0x01f8f840      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\1033
0x01f8f990      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\System
0x01f8fa28      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT
0x01f904a0      1      1 ------ \Device\NamedPipe\protected_storage
0x01f90a58      1      1 -W-rw- \Device\HarddiskVolume1\WINDOWS\Debug\PASSWD.LOG
0x01f91140      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\perfos.dll
0x01f913f8      1      1 ------ \Device\NamedPipe\net\NtControlPipe2
0x01f915e0      3      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\cert8.db
0x01f917c8      5      1 RWDr-- \Device\HarddiskVolume1\System Volume Information\tracking.log
0x01f91f90      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\rasdlg.dll
0x01f92148      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wups2.dll
0x01f92358      1      1 ------ \Device\NamedPipe\net\NtControlPipe1
0x01f92560      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Java\jre6\bin\client\jvm.dll
0x01f92768      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Real\RealPlayer\pnmi3260.dll
0x01f92950      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Update\setu3260.dll
0x01f92b18      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\webclnt.dll
0x01f92f58      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f932c8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\softokn3.dll
0x01f934b0      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\nssutil3.dll
0x01f93698      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\sqlite3.dll
0x01f93880      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\plds4.dll
0x01f93ab8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\zlib.pyd
0x01f93cd0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x01f93e98      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\ipnathlp.dll
0x01f93f90      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Adobe\Acrobat\ActiveX\AcroIEHelper.dll
0x01f94350      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\gobject.pyd
0x01f948c0      1      1 RW---- \Device\HarddiskVolume1\WINDOWS\system32\config\default.LOG
0x01f94ac8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\plc4.dll
0x01f94e98      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\nspr4.dll
0x01f96028      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\atk.pyd
0x01f96170      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x01f96cd8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\javaxpcomglue.dll
0x01f96e98      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Common\rppr3260.dll
0x01f97758      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\Triedit
0x01f977f0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\imjp8_1
0x01f97ac8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\libgtk-win32-2.0-0.dll
0x01f97cb0      1      0 R--rwd \Device\HarddiskVolume1\Program Files\BitTorrent\libgdk_pixbuf-2.0-0.dll
0x01f98268      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msxml6.dll
0x01f98300      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f98460      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\inetpp.dll
0x01f987a0      2      1 ------ \Device\NamedPipe\ntsvcs
0x01f98a08      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\xircom
0x01f98aa0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\imkr6_1\applets
0x01f98c60      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01f990d0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wow32.dll
0x01f99170      3      1 ------ \Device\Afd\Endpoint
0x01f993b0      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Movie Maker
0x01f99448      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Resources\Themes\Luna
0x01f99518      4      1 RW---- \Device\HarddiskVolume1\WINDOWS\system32\config\default
0x01f99818      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\PPKLite.api
0x01f99968      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\imjp8_1\applets
0x01f99a00      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Internet Explorer
0x01f99b10      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Update\upgr3260.dll
0x01f9a308      2      1 RW--w- \Device\HarddiskVolume1\pagefile.sys
0x01f9a8c0      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Start Menu
0x01f9b5a0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\CHTIME\Applets
0x01f9b890      3      1 ------ \Device\NamedPipe\net\NtControlPipe7
0x01f9cca0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\IME\CINTLGNT
0x01f9ce88      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\wbem
0x01f9cf90      2      1 ------ \Device\Afd\Endpoint
0x01f9d140      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Plugins\http3260.dll
0x01f9d648      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Real\Common\rpst3260.dll
0x01f9df90      1      0 ------ \Device\KSENUM#00000002\{9B365890-165F-11D0-A195-0020AFD156E4}
0x01f9eaf8      2      1 ------ \Device\NamedPipe\ntsvcs
0x01f9ee58      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\SpeechEngines\Microsoft\TTS\1033
0x01f9f808      1      1 ------ \Device\NamedPipe\Win32Pipes.00000138.00000001
0x01fa0028      1      1 ------ \Device\Afd\Endpoint
